evaluation_policy_version,round_id,round_number,provenance_class,formal_cohort,active_phase,candidate_id,formulation_id,recommendation_type,selection_rank,endpoint,endpoint_role,metric_type,prediction_mean,prediction_std,observed_mean,observed_unit,replicate_count,completed_row_count,evaluation_eligible,exclusion_reason,formal_metric_eligible,formal_exclusion_reason,signed_error,absolute_error,squared_error,standardized_residual,interval_95_lower,interval_95_upper,interval_95_covered,brier_score,classification_correct
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001465,v2_237544a25f30,screening_candidate,1,viability_percent,primary,continuous,70.95992834878955,57.340368581488576,69.21,percent,1,1,True,,False,outside_formal_cohort,1.7499283487895525,1.7499283487895525,3.0622492258973297,0.03051826125433189,-41.42719407092807,183.34705076850716,True,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001465,v2_237544a25f30,screening_candidate,1,intact_patch_formation_pass,gate_secondary,binary,1.0,,0.0,binary,1,1,True,,False,outside_formal_cohort,1.0,1.0,1.0,,,,,1.0,False
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001465,v2_237544a25f30,screening_candidate,1,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,1,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_000754,v2_da5df4899b60,screening_candidate,2,viability_percent,primary,continuous,59.82829861111112,59.684139475517846,43.34,percent,1,1,True,,False,outside_formal_cohort,16.48829861111112,16.48829861111112,271.86399108916885,0.27625930031000184,-57.15261476090386,176.8092119831261,True,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_000754,v2_da5df4899b60,screening_candidate,2,intact_patch_formation_pass,gate_secondary,binary,1.0,,0.0,binary,1,1,True,,False,outside_formal_cohort,1.0,1.0,1.0,,,,,1.0,False
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_000754,v2_da5df4899b60,screening_candidate,2,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,1,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001471,v2_21a3a498433e,screening_candidate,3,viability_percent,primary,continuous,61.12221106503008,59.238731727103705,36.22,percent,1,1,True,,False,outside_formal_cohort,24.90221106503008,24.90221106503008,620.1201159273065,0.42037042892389415,-54.985703120093184,177.23012525015335,True,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001471,v2_21a3a498433e,screening_candidate,3,intact_patch_formation_pass,gate_secondary,binary,1.0,,1.0,binary,1,1,True,,False,outside_formal_cohort,0.0,0.0,0.0,,,,,0.0,True
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001471,v2_21a3a498433e,screening_candidate,3,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,1,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001389,v2_e0e6b16a3f20,screening_candidate,4,viability_percent,primary,continuous,59.828300782507846,59.684139475514456,26.53,percent,1,1,True,,False,outside_formal_cohort,33.298300782507845,33.298300782507845,1108.7768350023625,0.5579087019620772,-57.152612589500485,176.80921415451618,True,,
